Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L,ML1,SL1,ML2,SL2
16.8997,17,17,15,17,16.7843,17.0081,0.573236,0.733012,0.585833,0.679529,0.560853
17.0086,17,17,17,17,15.1119,18.7903,0.571883,0.721906,0.592867,0.687812,0.550886
18.3797,17,15,15,17,14.6046,21.9262,0.573214,0.704096,0.581536,0.723117,0.564292
18.4316,15,17,15,17,23.9627,13.2355,0.598599,0.7792,0.638803,0.655059,0.562046
18.4327,17,17,16,16,15.1516,21.5151,0.549942,0.724286,0.582544,0.687619,0.517382
18.7245,17,17,16,17,18.0836,19.3265,0.577919,0.727393,0.581137,0.683671,0.574733
18.7879,17,17,16,15,15.1039,22.2487,0.570531,0.721179,0.590682,0.691663,0.550198
18.7903,15,17,16,16,21.638,16.115,0.56301,0.768947,0.606405,0.662857,0.52291
18.9593,17,17,17,15,12.9966,24.5609,0.55149,0.715765,0.569793,0.695904,0.532838
18.9834,17,17,15,16,14.5513,23.1471,0.563236,0.729867,0.571757,0.683429,0.554801
19.0036,15,17,17,15,20.3274,17.76,0.561132,0.758961,0.588098,0.670843,0.535725
19.0044,16,17,17,17,20.6015,17.504,0.561948,0.742741,0.581264,0.675576,0.543355
19.0056,15,17,17,17,21.7771,16.402,0.575828,0.76574,0.607977,0.663341,0.546154
19.1929,17,17,17,16,13.6372,24.412,0.567761,0.718835,0.5822,0.69181,0.553179
19.3578,17,17,15,15,16.2818,22.2475,0.566231,0.726723,0.577488,0.687422,0.554977
19.8045,17,16,15,17,14.0772,25.185,0.563491,0.718554,0.574245,0.700247,0.552476
19.8531,15,16,15,17,20.2885,19.444,0.577239,0.7632,0.600757,0.674568,0.555128
19.8567,15,15,15,15,18.443,21.1849,0.574065,0.74024,0.589581,0.70528,0.55855
19.9371,17,15,16,17,14.7586,24.8019,0.580027,0.698821,0.555384,0.727688,0.606395
19.9887,16,17,16,15,22.3531,17.7675,0.576074,0.742237,0.591557,0.679133,0.561021
20.0986,16,15,16,15,18.0194,22.0518,0.56212,0.712237,0.554533,0.72384,0.570105
20.1604,16,16,17,17,19.8573,20.4452,0.576602,0.727926,0.593517,0.696099,0.559667
20.1855,17,15,17,17,12.4351,27.4664,0.588411,0.693671,0.57571,0.73226,0.602119
20.2976,17,15,16,15,12.6823,27.4517,0.539728,0.692607,0.537939,0.737707,0.541693
20.3746,15,16,17,17,19.0065,21.6599,0.536664,0.750156,0.551473,0.683259,0.522409
20.3762,15,15,17,17,17.6884,22.9012,0.569623,0.734571,0.583426,0.705247,0.555831
20.3974,16,17,17,15,21.5945,19.2729,0.573222,0.736296,0.613452,0.683373,0.533874
20.4355,15,17,17,16,19.7028,21.1239,0.574848,0.762351,0.599575,0.667048,0.551811
20.5598,15,17,15,15,22.3463,18.8815,0.562975,0.77224,0.623021,0.662361,0.50751
20.5899,17,16,17,17,13.1933,27.5386,0.604824,0.707788,0.597951,0.708938,0.612063
20.6476,17,15,15,16,12.9292,27.8985,0.575074,0.700952,0.562457,0.728,0.58866
20.7192,15,15,16,16,17.6831,23.5713,0.596277,0.737368,0.61267,0.705263,0.579868
20.7578,15,15,17,15,17.4463,23.8688,0.574557,0.727792,0.574331,0.714667,0.574788
20.8906,15,15,15,16,19.2108,22.4687,0.559524,0.74372,0.560497,0.700632,0.55856
20.9542,16,15,15,17,20.0573,21.7968,0.601491,0.724557,0.606114,0.70961,0.596831
20.9582,15,17,15,16,22.3122,19.6863,0.556157,0.77572,0.588536,0.658667,0.526582
20.9678,16,17,16,17,27.5245,14.8082,0.581959,0.748762,0.598754,0.671435,0.565959
20.9708,15,17,16,17,25.776,16.4567,0.570286,0.772382,0.606786,0.6592,0.536936
21.0484,15,16,16,16,19.4996,22.5034,0.569305,0.753158,0.594685,0.683,0.544944
21.0547,16,17,15,16,23.2103,19.0297,0.574044,0.751633,0.579793,0.671048,0.568571
21.1197,16,17,15,17,25.7902,16.732,0.569561,0.754937,0.596511,0.667294,0.544109
21.135,15,16,16,15,19.0015,23.1393,0.570256,0.749724,0.598263,0.68719,0.543103
21.1544,16,16,16,17,21.2776,21.0386,0.569932,0.733762,0.586405,0.691753,0.553613
21.165,17,16,15,16,12.7552,29.0656,0.576251,0.71541,0.584225,0.7046,0.568032
21.1774,15,17,16,15,22.3158,20.1079,0.565714,0.765513,0.58608,0.666602,0.546691
