Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2
10.9144,16,17,17,16,10.4199,11.3757
10.9691,17,17,24,18,9.52157,12.32
11.1056,16,17,19,16,10.4186,11.7466
11.1228,16,21,20,15,11.7264,10.5595
11.127,15,18,16,16,11.4807,10.797
11.1337,16,18,23,16,10.3364,11.8778
11.156,15,17,17,15,11.635,10.709
11.1617,15,17,20,15,11.1648,11.1588
11.1647,16,21,16,20,12.3742,10.036
11.1649,15,17,24,15,10.5346,11.7532
11.1655,15,17,23,15,10.517,11.7706
11.2003,16,18,16,20,11.5572,10.8672
11.2003,16,17,19,17,10.7819,11.5908
11.2076,17,17,22,16,9.67218,12.6405
11.2101,16,19,16,17,11.7524,10.704
11.2171,15,18,17,16,12.0056,10.4812
11.2179,15,21,24,17,12.4976,10.0237
11.2219,16,22,24,15,11.6388,10.8329
11.2237,15,17,16,17,11.8531,10.6363
11.2448,16,17,16,15,10.905,11.562
11.2505,16,21,24,17,11.6987,10.8322
11.2619,15,18,15,15,11.6588,10.8916
11.2679,15,17,18,16,12.1956,10.4022
11.2741,16,22,15,16,12.5137,10.1172
11.2808,16,17,23,17,10.4257,12.0787
11.29,16,17,18,17,11.3016,11.2791
11.3016,16,21,22,15,11.8906,10.7519
11.3074,16,18,17,17,10.706,11.8687
11.3119,16,17,17,15,10.6754,11.9059
11.314,15,18,16,15,12.1206,10.5614
11.314,16,17,24,18,10.9795,11.6262
11.316,16,22,21,17,12.6819,10.0413
11.3231,16,17,25,15,9.73613,12.8042
11.3302,16,20,20,15,11.2513,11.4038
11.3429,16,22,20,15,12.4797,10.282
11.343,15,17,16,15,11.5365,11.1625
11.3454,16,21,22,16,11.6952,11.0189
11.3541,16,19,22,15,10.4586,12.1897
11.3607,16,18,25,15,10.0602,12.5744
11.3619,16,21,16,16,12.6686,10.1425
11.3651,16,21,20,16,11.5997,11.1461
11.3653,16,20,17,15,11.2511,11.4718
11.3733,16,17,22,16,10.4842,12.2031
11.3743,15,17,21,16,11.7539,11.02
11.3793,15,21,25,15,11.4924,11.2738
11.3811,16,21,23,21,12.5082,10.3292
11.3817,16,17,25,18,10.5568,12.1514
11.3825,16,17,20,19,11.5253,11.2492
11.383,16,22,20,17,12.8317,10.031
11.3834,16,18,20,19,11.0632,11.6822
11.3851,17,21,24,18,11.9441,10.8634
11.3907,15,18,21,17,11.899,10.9164
11.3913,16,17,21,15,10.1796,12.522
11.3972,17,21,24,15,11.1956,11.5854
11.3976,16,17,21,19,10.6723,12.0743
11.3989,16,23,20,17,12.684,10.1997
11.3992,16,18,16,17,11.9732,10.8635
11.4013,16,17,21,17,10.8971,11.8718
11.4017,16,18,20,18,11.2286,11.5633
11.4037,16,21,16,17,12.7832,10.1164
11.4077,16,21,17,17,12.7696,10.1368
11.4137,16,18,20,22,11.9121,10.9487
11.4167,18,21,16,15,11.4934,11.3452
11.417,15,17,24,17,11.3497,11.4798
11.4195,15,18,24,15,10.7532,12.0412
11.4318,16,17,25,20,10.7614,12.0575
11.4328,16,22,23,17,12.3621,10.5655
11.4333,16,17,15,17,11.3497,11.5114
11.435,16,22,24,17,12.0299,10.8799
11.4362,16,17,20,17,10.4602,12.347
11.4378,15,23,21,15,12.7778,10.1873
11.4402,15,17,21,17,11.8387,11.0682
11.4417,15,18,22,16,11.8537,11.0572
11.452,16,21,20,18,12.8493,10.1481
11.4558,15,17,25,17,11.1148,11.774
11.4577,16,21,21,17,12.6208,10.3723
11.462,16,22,25,18,12.2006,10.7727
11.4625,17,17,25,17,10.0101,12.8178
11.467,16,21,23,16,11.9464,11.0196
11.4723,15,18,22,17,11.8896,11.0829
11.4728,16,18,22,17,10.9752,11.9371
11.4742,17,21,20,15,11.5543,11.3994
11.4798,16,23,18,15,12.8554,10.1962
11.4872,15,21,24,16,12.6645,10.3885
11.4883,16,17,19,15,10.8915,12.0453
11.4893,16,22,17,15,12.6713,10.3863
11.4913,16,19,17,17,11.7258,11.2724
11.4938,16,18,15,15,11.6555,11.3429
11.4944,16,17,22,15,10.6087,12.3208
11.4971,15,22,19,15,13.4908,9.63659
11.4974,16,21,16,21,13.0315,10.0658
11.4978,16,18,19,18,11.2875,11.694
11.5017,15,21,20,20,13.263,9.85797
11.5019,16,22,20,18,13.1398,9.97334
11.5032,17,17,15,18,11.4832,11.522
11.5075,16,17,23,18,11.0991,11.8886
11.5164,16,18,24,16,10.3597,12.5959
11.517,16,17,22,17,10.6803,12.2978
11.5172,16,19,17,21,12.1734,10.9049
11.5202,17,17,22,15,10.227,12.727
11.5259,17,22,16,15,12.4423,10.6707
11.5272,16,18,24,15,9.955,12.9943
11.5275,16,17,23,15,10.2592,12.711
11.529,15,17,23,17,11.9621,11.1248
11.5295,16,21,15,15,12.9866,10.1697
11.5301,16,23,20,15,12.3867,10.7306
11.5304,16,22,25,17,12.1544,10.948
11.5332,15,17,19,15,11.302,11.749
11.534,15,21,17,16,13.1947,9.98419
11.534,16,17,20,15,10.7888,12.2293
11.5349,16,17,24,21,11.4088,11.6526
11.5362,15,17,16,16,11.7333,11.3523
11.5388,15,18,21,16,11.5021,11.573
11.5449,16,18,21,15,11.1839,11.8818
11.547,16,21,25,15,11.7157,11.3895
11.5485,16,22,18,15,12.6553,10.5157
11.5491,16,17,23,20,11.1706,11.9024
11.5493,15,22,17,15,13.9713,9.28911
11.552,15,21,24,18,12.6567,10.521
11.5536,17,19,20,15,10.5538,12.4867
11.5539,15,22,20,17,13.2188,10.0003
11.558,16,18,18,16,11.1963,11.8956
11.5588,16,22,24,18,12.2938,10.8728
11.5611,15,21,24,20,13.1682,10.0614
11.5628,16,22,15,18,13.5553,9.70344
11.5633,16,17,25,17,11.0879,12.0069
11.5641,19,21,17,17,11.1435,11.9565
11.5642,16,19,16,16,11.5538,11.574
11.5648,15,22,18,17,13.289,9.95577
11.566,15,18,24,17,11.3922,11.7282
11.5663,17,21,16,18,12.4485,10.743
11.5669,16,19,20,18,11.5735,11.5607
11.5693,17,21,21,16,11.4562,11.6748
11.57,15,17,24,18,11.2886,11.8325
11.5702,16,18,24,18,11.3231,11.8008
11.5729,17,19,21,15,10.4,12.6674
11.5775,17,22,17,17,12.88,10.3621
11.5776,17,19,25,17,10.8009,12.3024
11.5842,16,21,25,17,12.2891,10.9264
11.5848,15,18,25,17,10.9518,12.1755
11.5871,15,17,17,19,12.8008,10.4546
11.5913,15,22,25,17,12.6203,10.631
11.5926,17,18,17,17,11.4957,11.683
11.593,17,21,16,15,12.0599,11.1572
11.594,16,17,24,16,10.2113,12.8843
11.5961,16,22,17,16,12.6977,10.5682
11.5974,16,24,21,16,13.0528,10.2392
11.5989,15,17,21,18,12.1716,11.0643
11.6008,15,17,25,15,10.9063,12.249
11.6011,16,25,24,19,13.0703,10.2301
11.6022,16,17,21,18,11.0443,12.1227
11.6054,15,17,18,17,12.064,11.1774
11.606,15,17,19,16,11.6982,11.5199
11.6067,17,22,24,17,12.0374,11.2048
11.6075,15,18,21,15,11.4027,11.7986
11.61,15,18,16,17,12.4152,10.8585
11.6105,15,17,21,19,12.0387,11.2109
11.6115,15,25,21,15,13.923,9.45444
11.6121,15,19,24,17,11.4809,11.7346
11.6126,16,18,23,18,11.0769,12.1125
11.6154,16,23,16,16,13.2098,10.1275
11.6175,17,21,16,17,12.4682,10.8236
11.6176,16,19,18,19,11.7841,11.4622
11.6186,17,18,21,15,10.6486,12.5238
11.6197,16,18,16,16,11.719,11.5271
11.6198,16,21,19,21,13.3761,9.98084
11.6199,16,18,21,17,11.2877,11.93
11.6216,16,25,24,17,13.4483,9.917
11.6221,15,18,20,17,12.1515,11.128
11.6227,16,20,20,19,12.2061,11.0783
11.6231,17,21,21,20,12.3383,10.9557
11.6241,17,17,18,16,10.4606,12.7098
11.6246,17,17,24,19,10.8288,12.3671
11.6252,16,18,15,19,12.3464,10.9522
11.6258,16,19,15,18,12.2891,11.0068
11.6292,17,17,16,20,11.599,11.6573
11.6295,17,17,16,15,10.5836,12.6055
11.6309,15,21,16,17,13.8249,9.58356
11.631,16,20,24,18,11.4604,11.7902
11.6312,17,21,17,17,12.3004,11.0067
11.6335,15,18,25,21,12.3636,10.9521
11.635,16,23,24,17,12.6528,10.6852
11.635,15,17,18,15,12.0154,11.28
11.6365,16,19,25,16,10.6624,12.5456
11.6366,16,21,25,22,12.7946,10.556
11.6369,16,19,21,15,11.5325,11.7343
11.6386,15,18,21,22,12.7543,10.5975
11.6421,17,17,17,17,11.1764,12.0768
11.6448,16,17,17,19,11.5748,11.7101
11.6449,16,22,24,23,13.0593,10.3249
11.6457,15,22,20,15,13.2936,10.1078
11.6473,15,17,17,17,12.6357,10.7249
11.6498,16,22,21,18,12.7432,10.6295
11.65,15,21,21,18,13.0801,10.3155
11.6515,16,17,21,16,10.5498,12.6796
11.6526,16,22,25,16,11.662,11.6439
11.653,17,21,16,16,12.7665,10.6138
11.6531,17,21,20,18,12.3224,11.0285
11.6532,15,22,23,15,13.321,10.0967
11.6533,16,21,25,19,12.466,10.8949
11.6535,16,21,20,17,12.3019,11.0485
11.6543,15,18,19,15,12.306,11.0461
11.6544,16,17,25,16,10.6456,12.5959
11.655,16,19,16,15,11.5345,11.7674
11.6551,16,21,19,19,13.4455,9.98426
11.6555,17,17,23,17,10.7169,12.5314
11.6556,16,22,19,17,12.6963,10.6844
11.656,16,17,24,15,10.1539,13.0577
11.6563,18,17,19,18,10.5999,12.6421
11.6589,16,19,16,19,12.3672,10.9978
11.6593,15,21,22,18,13.3534,10.0784
11.66,16,21,18,18,12.323,11.0413
11.6614,16,18,23,17,11.2515,12.044
11.665,17,21,25,19,11.9728,11.3777
11.6666,15,21,16,16,13.1823,10.2522
11.6667,16,22,22,17,12.9849,10.4366
11.6667,15,17,20,16,11.4174,11.8993
11.6671,16,18,20,15,10.8985,12.3843
11.668,15,17,17,22,12.6556,10.7464
11.6704,17,17,15,15,11.278,12.0366
11.6705,17,22,20,17,12.3422,11.0436
11.6705,15,20,21,15,11.8953,11.4608
11.6713,16,21,22,17,12.2598,11.1221
11.6729,16,25,17,15,13.6923,9.78843
11.6734,15,21,22,17,13.392,10.0695
11.6737,15,21,23,16,13.1728,10.2748
11.6743,16,22,18,16,13.039,10.4008
11.675,16,23,18,16,13.023,10.417
11.6755,15,17,25,16,11.0796,12.2316
11.6762,17,17,21,18,10.9875,12.3189
11.677,16,25,20,20,14.0586,9.45443
11.6772,17,23,16,15,12.3114,11.0854
11.6786,16,23,20,18,13.2485,10.2135
11.6796,17,22,16,16,12.5041,10.9102
11.6797,16,25,21,18,13.7838,9.71606
11.6804,18,21,20,16,11.6375,11.7203
11.6805,15,22,16,17,13.9029,9.60657
11.6809,16,24,24,16,12.6053,10.8184
11.6815,17,19,22,16,10.5919,12.6983
11.682,16,19,25,17,11.1907,12.1405
11.6834,16,18,16,15,11.4454,11.9055
11.6835,15,20,22,18,12.2838,11.1233
11.6836,16,22,25,15,11.8656,11.5138
11.6836,17,21,21,17,12.0858,11.3084
11.6838,16,17,24,17,11.0052,12.317
11.6864,18,18,25,15,10.3772,12.9081
11.6868,16,17,16,16,11.7265,11.6497
11.6899,18,17,24,17,10.0206,13.2477
11.6917,17,17,22,17,10.9548,12.3795
11.692,16,21,21,15,11.7948,11.596
11.692,17,17,20,18,10.9677,12.3679
11.693,15,20,24,17,11.8371,11.5586
11.6932,16,17,18,23,12.0868,11.326
11.696,16,19,25,21,11.1959,12.1628
11.6968,16,21,25,18,12.0534,11.3639
11.6969,16,19,21,17,11.4415,11.9353
11.697,15,17,22,15,11.088,12.2652
11.6976,16,18,21,18,11.1486,12.2098
11.7011,17,17,23,18,10.9932,12.3616
11.7013,15,25,24,16,13.7462,9.79297
11.7027,16,22,17,18,13.3526,10.1629
11.7047,16,20,16,16,11.9644,11.4623
11.7049,18,19,20,18,10.8265,12.5246
11.7051,16,18,16,21,12.7353,10.7438
11.7059,15,19,20,18,12.2423,11.2053
11.7063,16,20,25,17,11.9768,11.4539
11.7064,15,17,16,22,12.5915,10.8805
11.7065,17,22,20,19,13.0024,10.4972
11.7067,16,23,23,17,12.7409,10.7415
11.7078,15,19,15,15,12.4312,11.0328
11.708,15,18,19,17,12.108,11.3348
11.7091,16,23,22,17,13.2119,10.3067
11.7092,16,20,18,16,11.8531,11.5749
11.7103,15,17,24,16,11.5355,11.8734
11.7111,16,21,25,16,11.6519,11.7664
11.7121,17,22,22,18,12.6175,10.8671
11.7122,18,17,16,18,10.6196,12.7318
11.7139,17,19,20,17,11.4556,11.955
11.7146,15,21,17,19,13.8467,9.72487
11.7147,15,21,22,15,13.1345,10.3897
11.7148,18,18,17,18,11.1719,12.2214
11.715,16,21,22,18,12.6629,10.8305
11.7163,17,17,23,15,10.1947,13.1362
11.7169,17,17,23,16,10.97,12.4139
11.7177,16,18,18,15,11.4113,12.0036
11.7181,17,18,24,21,11.6845,11.7495
11.719,17,17,17,16,11.2294,12.176
11.7197,16,18,17,22,12.6662,10.8364
11.7197,16,22,22,21,13.6201,9.94622
11.7219,16,23,16,15,13.6004,9.96893
11.7228,17,17,16,16,10.8581,12.5298
11.7244,16,23,21,15,12.6299,10.8794
11.7244,16,25,16,17,14.4965,9.13748
11.7262,16,19,17,16,12.1705,11.3116
11.7282,17,17,15,16,11.78,11.6799
11.7297,16,20,16,18,12.2865,11.2102
11.7299,16,18,23,15,10.9137,12.4916
11.7314,15,17,22,16,11.2243,12.2047
11.7315,16,22,16,15,13.0518,10.4994
11.732,17,20,24,15,10.6221,12.7677
11.732,16,21,18,17,12.9505,10.5949
11.7324,15,18,23,20,12.3068,11.1963
11.7324,17,18,23,18,10.6008,12.7885
11.7334,17,22,19,16,12.3549,11.1534
11.7339,15,18,16,18,12.6747,10.856
11.7344,15,19,17,18,12.5063,11.014
11.7344,16,23,22,16,13.2484,10.3215
11.7351,16,17,25,21,11.3379,12.1057
11.7363,16,18,17,16,11.5156,11.9423
11.7369,16,22,15,15,13.0922,10.4722
11.7385,16,18,24,22,11.7853,11.6948
11.7387,17,21,17,18,12.6866,10.854
11.7389,15,18,24,16,11.3396,12.1115
11.7398,16,23,25,17,12.9229,10.6358
11.7409,16,23,19,15,12.848,10.7078
11.7414,17,22,18,17,12.8373,10.7187
11.7416,16,25,20,16,13.5582,10.0463
11.7427,16,21,17,21,13.6407,9.97145
11.7427,17,17,21,22,11.5934,11.882
11.7459,16,25,20,18,14.2096,9.44674
11.746,16,24,22,15,13.1739,10.4135
11.7466,15,17,22,17,11.6137,11.8707
11.7491,16,17,23,19,11.2704,12.1958
11.7497,15,19,22,21,12.7815,10.7868
11.7504,15,23,25,15,12.8116,10.7601
11.7515,16,17,20,21,11.3713,12.1063
11.7518,16,18,20,16,11.5218,11.9664
11.7519,16,19,19,15,12.1218,11.4067
11.7537,17,25,25,15,12.8093,10.7687
11.7565,15,21,21,16,13.3521,10.2674
11.7572,16,19,16,20,12.456,11.1052
11.7575,16,17,15,15,11.8002,11.7176
11.758,17,25,20,18,14.0689,9.60156
11.7592,17,18,24,22,11.0164,12.4523
11.7594,16,25,24,15,13.3409,10.2836
11.7595,16,22,21,16,12.52,11.0498
11.7606,16,17,21,20,11.59,11.9197
11.7609,15,17,23,18,11.5098,11.9953
11.7623,16,23,19,16,12.9415,10.6619
11.7645,15,21,25,18,12.8467,10.7545
11.7651,15,21,20,19,13.654,10.0024
11.7653,15,20,16,17,13.0481,10.5682
11.7674,17,17,18,15,10.7328,12.733
11.7678,16,18,20,20,11.5426,11.978
