Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L
-1,15,15,15,15,-1,-1,-1
-1,15,15,15,16,-1,-1,-1
-1,15,15,15,17,-1,-1,-1
-1,15,15,15,18,-1,-1,-1
-1,15,15,15,19,-1,-1,-1
-1,15,15,15,20,-1,-1,-1
-1,15,15,15,21,-1,-1,-1
-1,15,15,15,22,-1,-1,-1
-1,15,15,15,23,-1,-1,-1
-1,15,15,15,24,-1,-1,-1
-1,15,15,15,25,-1,-1,-1
-1,15,16,15,15,-1,-1,-1
-1,15,16,15,16,-1,-1,-1
-1,15,16,15,17,-1,-1,-1
-1,15,16,15,18,-1,-1,-1
-1,15,16,15,19,-1,-1,-1
-1,15,16,15,20,-1,-1,-1
-1,15,16,15,21,-1,-1,-1
-1,15,16,15,22,-1,-1,-1
-1,15,16,15,23,-1,-1,-1
-1,15,16,15,24,-1,-1,-1
-1,15,16,15,25,-1,-1,-1
-1,15,17,15,15,-1,-1,-1
-1,15,17,15,16,-1,-1,-1
-1,15,17,15,17,-1,-1,-1
-1,15,17,15,18,-1,-1,-1
-1,15,17,15,19,-1,-1,-1
-1,15,17,15,20,-1,-1,-1
-1,15,17,15,21,-1,-1,-1
-1,15,17,15,22,-1,-1,-1
-1,15,17,15,23,-1,-1,-1
-1,15,17,15,24,-1,-1,-1
-1,15,17,15,25,-1,-1,-1
-1,15,18,15,15,-1,-1,-1
-1,15,18,15,16,-1,-1,-1
-1,15,18,15,17,-1,-1,-1
-1,15,18,15,18,-1,-1,-1
-1,15,18,15,19,-1,-1,-1
-1,15,18,15,20,-1,-1,-1
-1,15,18,15,21,-1,-1,-1
-1,15,18,15,22,-1,-1,-1
-1,15,18,15,23,-1,-1,-1
-1,15,18,15,24,-1,-1,-1
-1,15,18,15,25,-1,-1,-1
-1,15,19,15,15,-1,-1,-1
-1,15,19,15,16,-1,-1,-1
-1,15,19,15,17,-1,-1,-1
-1,15,19,15,18,-1,-1,-1
-1,15,19,15,19,-1,-1,-1
-1,15,19,15,20,-1,-1,-1
-1,15,19,15,21,-1,-1,-1
-1,15,19,15,22,-1,-1,-1
-1,15,19,15,23,-1,-1,-1
-1,15,19,15,24,-1,-1,-1
-1,15,19,15,25,-1,-1,-1
-1,15,20,15,15,-1,-1,-1
-1,15,20,15,16,-1,-1,-1
-1,15,20,15,17,-1,-1,-1
-1,15,20,15,18,-1,-1,-1
-1,15,20,15,19,-1,-1,-1
-1,15,20,15,20,-1,-1,-1
-1,15,20,15,21,-1,-1,-1
-1,15,20,15,22,-1,-1,-1
-1,15,20,15,23,-1,-1,-1
-1,15,20,15,24,-1,-1,-1
-1,15,20,15,25,-1,-1,-1
-1,15,21,15,15,-1,-1,-1
-1,15,21,15,16,-1,-1,-1
-1,15,21,15,17,-1,-1,-1
-1,15,21,15,18,-1,-1,-1
-1,15,21,15,19,-1,-1,-1
-1,15,21,15,20,-1,-1,-1
-1,15,21,15,21,-1,-1,-1
-1,15,21,15,22,-1,-1,-1
-1,15,21,15,23,-1,-1,-1
-1,15,21,15,24,-1,-1,-1
-1,15,21,15,25,-1,-1,-1
-1,15,22,15,15,-1,-1,-1
-1,15,22,15,16,-1,-1,-1
-1,15,22,15,17,-1,-1,-1
-1,15,22,15,18,-1,-1,-1
-1,15,22,15,19,-1,-1,-1
-1,15,22,15,20,-1,-1,-1
-1,15,22,15,21,-1,-1,-1
-1,15,22,15,22,-1,-1,-1
-1,15,22,15,23,-1,-1,-1
-1,15,22,15,24,-1,-1,-1
-1,15,22,15,25,-1,-1,-1
-1,15,23,15,15,-1,-1,-1
-1,15,23,15,16,-1,-1,-1
-1,15,23,15,17,-1,-1,-1
-1,15,23,15,18,-1,-1,-1
-1,15,23,15,19,-1,-1,-1
-1,15,23,15,20,-1,-1,-1
-1,15,23,15,21,-1,-1,-1
-1,15,23,15,22,-1,-1,-1
-1,15,23,15,23,-1,-1,-1
-1,15,23,15,24,-1,-1,-1
-1,15,23,15,25,-1,-1,-1
-1,15,24,15,15,-1,-1,-1
-1,15,24,15,16,-1,-1,-1
-1,15,24,15,17,-1,-1,-1
-1,15,24,15,18,-1,-1,-1
-1,15,24,15,19,-1,-1,-1
-1,15,24,15,20,-1,-1,-1
-1,15,24,15,21,-1,-1,-1
-1,15,24,15,22,-1,-1,-1
-1,15,24,15,23,-1,-1,-1
-1,15,24,15,24,-1,-1,-1
-1,15,24,15,25,-1,-1,-1
-1,15,25,15,15,-1,-1,-1
-1,15,25,15,16,-1,-1,-1
-1,15,25,15,17,-1,-1,-1
-1,15,25,15,18,-1,-1,-1
-1,15,25,15,19,-1,-1,-1
-1,15,25,15,20,-1,-1,-1
-1,15,25,15,21,-1,-1,-1
-1,15,25,15,22,-1,-1,-1
-1,15,25,15,23,-1,-1,-1
-1,15,25,15,24,-1,-1,-1
-1,15,25,15,25,-1,-1,-1
-1,15,15,16,16,-1,-1,-1
-1,15,15,16,17,-1,-1,-1
-1,15,15,16,18,-1,-1,-1
-1,15,15,16,19,-1,-1,-1
-1,15,15,16,20,-1,-1,-1
-1,15,15,16,21,-1,-1,-1
-1,15,15,16,22,-1,-1,-1
-1,15,15,16,23,-1,-1,-1
-1,15,15,16,24,-1,-1,-1
-1,15,15,16,25,-1,-1,-1
-1,15,16,16,16,-1,-1,-1
-1,15,16,16,17,-1,-1,-1
-1,15,16,16,18,-1,-1,-1
-1,15,16,16,19,-1,-1,-1
-1,15,16,16,20,-1,-1,-1
-1,15,16,16,21,-1,-1,-1
-1,15,16,16,22,-1,-1,-1
-1,15,16,16,23,-1,-1,-1
-1,15,16,16,24,-1,-1,-1
-1,15,16,16,25,-1,-1,-1
-1,15,17,16,16,-1,-1,-1
-1,15,17,16,17,-1,-1,-1
-1,15,17,16,18,-1,-1,-1
-1,15,17,16,19,-1,-1,-1
-1,15,17,16,20,-1,-1,-1
-1,15,17,16,21,-1,-1,-1
-1,15,17,16,22,-1,-1,-1
-1,15,17,16,23,-1,-1,-1
-1,15,17,16,24,-1,-1,-1
-1,15,17,16,25,-1,-1,-1
-1,15,18,16,16,-1,-1,-1
-1,15,18,16,17,-1,-1,-1
-1,15,18,16,18,-1,-1,-1
-1,15,18,16,19,-1,-1,-1
-1,15,18,16,20,-1,-1,-1
-1,15,18,16,21,-1,-1,-1
-1,15,18,16,22,-1,-1,-1
-1,15,18,16,23,-1,-1,-1
-1,15,18,16,24,-1,-1,-1
-1,15,18,16,25,-1,-1,-1
-1,15,19,16,16,-1,-1,-1
-1,15,19,16,17,-1,-1,-1
-1,15,19,16,18,-1,-1,-1
-1,15,19,16,19,-1,-1,-1
-1,15,19,16,20,-1,-1,-1
-1,15,19,16,21,-1,-1,-1
-1,15,19,16,22,-1,-1,-1
-1,15,19,16,23,-1,-1,-1
-1,15,19,16,24,-1,-1,-1
-1,15,19,16,25,-1,-1,-1
-1,15,20,16,16,-1,-1,-1
-1,15,20,16,17,-1,-1,-1
-1,15,20,16,18,-1,-1,-1
-1,15,20,16,19,-1,-1,-1
-1,15,20,16,20,-1,-1,-1
-1,15,20,16,21,-1,-1,-1
-1,15,20,16,22,-1,-1,-1
-1,15,20,16,23,-1,-1,-1
-1,15,20,16,24,-1,-1,-1
-1,15,20,16,25,-1,-1,-1
-1,15,21,16,16,-1,-1,-1
-1,15,21,16,17,-1,-1,-1
-1,15,21,16,18,-1,-1,-1
-1,15,21,16,19,-1,-1,-1
-1,15,21,16,20,-1,-1,-1
-1,15,21,16,21,-1,-1,-1
-1,15,21,16,22,-1,-1,-1
-1,15,21,16,23,-1,-1,-1
-1,15,21,16,24,-1,-1,-1
-1,15,21,16,25,-1,-1,-1
-1,15,22,16,16,-1,-1,-1
-1,15,22,16,17,-1,-1,-1
-1,15,22,16,18,-1,-1,-1
-1,15,22,16,19,-1,-1,-1
-1,15,22,16,20,-1,-1,-1
-1,15,22,16,21,-1,-1,-1
-1,15,22,16,22,-1,-1,-1
-1,15,22,16,23,-1,-1,-1
-1,15,22,16,24,-1,-1,-1
-1,15,22,16,25,-1,-1,-1
-1,15,23,16,16,-1,-1,-1
-1,15,23,16,17,-1,-1,-1
-1,15,23,16,18,-1,-1,-1
-1,15,23,16,19,-1,-1,-1
-1,15,23,16,20,-1,-1,-1
-1,15,23,16,21,-1,-1,-1
