Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L,ML1,SL1,ML2,SL2
-1,20,20,29,20,-1,-1,-1,0.664927,-1,0.69984,-1
-1,20,21,29,20,-1,-1,-1,0.675936,-1,0.682923,-1
-1,20,22,29,20,-1,-1,-1,0.686945,-1,0.667259,-1
-1,20,23,29,20,-1,-1,-1,0.697954,-1,0.652714,-1
-1,20,24,29,20,-1,-1,-1,0.708963,-1,0.639172,-1
-1,20,25,29,20,-1,-1,-1,0.719972,-1,0.626533,-1
-1,20,26,29,20,-1,-1,-1,0.730982,-1,0.61471,-1
-1,20,27,29,20,-1,-1,-1,0.741991,-1,0.603625,-1
-1,20,28,29,20,-1,-1,-1,0.753,-1,0.593212,-1
-1,20,29,29,20,-1,-1,-1,0.764009,-1,0.583412,-1
-1,20,30,29,20,-1,-1,-1,0.775018,-1,0.574171,-1
-1,20,20,30,20,-1,-1,-1,0.661255,-1,0.70336,-1
-1,20,21,30,20,-1,-1,-1,0.672164,-1,0.686308,-1
-1,20,22,30,20,-1,-1,-1,0.683073,-1,0.670519,-1
-1,20,23,30,20,-1,-1,-1,0.693982,-1,0.655857,-1
-1,20,24,30,20,-1,-1,-1,0.704891,-1,0.642207,-1
-1,20,25,30,20,-1,-1,-1,0.7158,-1,0.629467,-1
-1,20,26,30,20,-1,-1,-1,0.726709,-1,0.617548,-1
-1,20,27,30,20,-1,-1,-1,0.737618,-1,0.606375,-1
-1,20,28,30,20,-1,-1,-1,0.748527,-1,0.595879,-1
-1,20,29,30,20,-1,-1,-1,0.759436,-1,0.586,-1
-1,20,30,30,20,-1,-1,-1,0.770345,-1,0.576686,-1
-1,21,20,29,20,-1,-1,-1,0.652009,-1,0.71024,-1
-1,21,21,29,20,-1,-1,-1,0.662628,-1,0.692923,-1
-1,21,22,29,20,-1,-1,-1,0.673248,-1,0.676889,-1
-1,21,23,29,20,-1,-1,-1,0.683867,-1,0.662,-1
-1,21,24,29,20,-1,-1,-1,0.694487,-1,0.648138,-1
-1,21,25,29,20,-1,-1,-1,0.705106,-1,0.6352,-1
-1,21,26,29,20,-1,-1,-1,0.715726,-1,0.623097,-1
-1,21,27,29,20,-1,-1,-1,0.726345,-1,0.61175,-1
-1,21,28,29,20,-1,-1,-1,0.736965,-1,0.601091,-1
-1,21,29,29,20,-1,-1,-1,0.747584,-1,0.591059,-1
-1,21,30,29,20,-1,-1,-1,0.758204,-1,0.5816,-1
-1,21,20,30,20,-1,-1,-1,0.648579,-1,0.71376,-1
-1,21,21,30,20,-1,-1,-1,0.659105,-1,0.696308,-1
-1,21,22,30,20,-1,-1,-1,0.669632,-1,0.680148,-1
-1,21,23,30,20,-1,-1,-1,0.680158,-1,0.665143,-1
-1,21,24,30,20,-1,-1,-1,0.690684,-1,0.651172,-1
-1,21,25,30,20,-1,-1,-1,0.701211,-1,0.638133,-1
-1,21,26,30,20,-1,-1,-1,0.711737,-1,0.625935,-1
-1,21,27,30,20,-1,-1,-1,0.722263,-1,0.6145,-1
-1,21,28,30,20,-1,-1,-1,0.732789,-1,0.603758,-1
-1,21,29,30,20,-1,-1,-1,0.743316,-1,0.593647,-1
