Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L,ML1,SL1,ML2,SL2
-1,15,15,20,15,-1,-1,-1,0.710287,-1,0.728747,-1
-1,15,16,20,15,-1,-1,-1,0.725287,-1,0.705013,-1
-1,15,17,20,15,-1,-1,-1,0.740287,-1,0.683566,-1
-1,15,18,20,15,-1,-1,-1,0.755288,-1,0.664092,-1
-1,15,19,20,15,-1,-1,-1,0.770287,-1,0.64633,-1
-1,15,20,20,15,-1,-1,-1,0.785287,-1,0.630063,-1
-1,16,15,20,15,-1,-1,-1,0.69075,-1,0.742613,-1
-1,16,16,20,15,-1,-1,-1,0.705036,-1,0.718177,-1
-1,16,17,20,15,-1,-1,-1,0.719321,-1,0.696096,-1
-1,16,18,20,15,-1,-1,-1,0.733607,-1,0.676046,-1
-1,16,19,20,15,-1,-1,-1,0.747893,-1,0.657758,-1
-1,16,20,20,15,-1,-1,-1,0.762179,-1,0.641011,-1
-1,17,15,20,15,-1,-1,-1,0.672989,-1,0.75648,-1
-1,17,16,20,15,-1,-1,-1,0.686625,-1,0.731342,-1
-1,17,17,20,15,-1,-1,-1,0.700261,-1,0.708627,-1
-1,17,18,20,15,-1,-1,-1,0.713898,-1,0.688,-1
-1,17,19,20,15,-1,-1,-1,0.727534,-1,0.669187,-1
-1,17,20,20,15,-1,-1,-1,0.74117,-1,0.651958,-1
-1,18,15,20,15,-1,-1,-1,0.656772,-1,0.770347,-1
-1,18,16,20,15,-1,-1,-1,0.669815,-1,0.744506,-1
-1,18,17,20,15,-1,-1,-1,0.682859,-1,0.721157,-1
-1,18,18,20,15,-1,-1,-1,0.695902,-1,0.699954,-1
-1,18,19,20,15,-1,-1,-1,0.708946,-1,0.680615,-1
-1,18,20,20,15,-1,-1,-1,0.721989,-1,0.662905,-1
-1,19,15,20,15,-1,-1,-1,0.641906,-1,0.784213,-1
-1,19,16,20,15,-1,-1,-1,0.654406,-1,0.757671,-1
-1,19,17,20,15,-1,-1,-1,0.666906,-1,0.733687,-1
-1,19,18,20,15,-1,-1,-1,0.679406,-1,0.711908,-1
-1,19,19,20,15,-1,-1,-1,0.691906,-1,0.692044,-1
-1,19,20,20,15,-1,-1,-1,0.704406,-1,0.673853,-1
-1,20,15,20,15,-1,-1,-1,0.62823,-1,0.79808,-1
-1,20,16,20,15,-1,-1,-1,0.64023,-1,0.770835,-1
-1,20,17,20,15,-1,-1,-1,0.65223,-1,0.746217,-1
-1,20,18,20,15,-1,-1,-1,0.66423,-1,0.723862,-1
-1,20,19,20,15,-1,-1,-1,0.67623,-1,0.703473,-1
-1,20,20,20,15,-1,-1,-1,0.68823,-1,0.6848,-1
16.3671,17,17,15,17,16.1595,16.5622,0.566612,0.733012,0.589533,0.679529,0.544146
16.5158,17,19,15,17,15.6032,17.3731,0.57626,0.761928,0.618756,0.643441,0.537476
16.8993,19,17,19,17,15.414,18.2946,0.563636,0.676674,0.554439,0.720565,0.57371
16.9949,18,17,18,17,13.2431,20.5195,0.558671,0.698033,0.56,0.704188,0.557279
17.0634,17,19,17,18,14.3862,19.5784,0.552197,0.753212,0.584691,0.64783,0.522215
17.1729,17,19,16,17,16.6142,17.6977,0.563696,0.755964,0.605988,0.647226,0.524766
17.224,17,17,18,19,15.1841,19.1404,0.565439,0.722616,0.573213,0.684138,0.557745
17.2646,18,18,18,19,15.205,19.1995,0.56448,0.717167,0.573164,0.676923,0.555879
17.2971,19,17,18,17,14.8927,19.5558,0.622911,0.681096,0.607674,0.716424,0.639456
17.3221,20,17,17,19,14.6769,19.807,0.574827,0.675093,0.562315,0.715954,0.588436
17.3561,20,18,17,18,13.9906,20.5178,0.571395,0.684773,0.571477,0.699733,0.571309
17.4011,18,17,17,17,16.3475,18.3909,0.56769,0.702944,0.573704,0.700047,0.56143
17.4106,18,17,16,17,16.4911,18.2744,0.566848,0.707966,0.57279,0.695906,0.560721
17.4562,19,19,15,17,16.4187,18.4309,0.571798,0.721319,0.595624,0.665806,0.548391
17.4595,20,17,18,17,14.3187,20.4102,0.595226,0.665541,0.597976,0.728659,0.592133
17.4642,17,17,19,17,14.0104,20.7088,0.56262,0.71131,0.556303,0.696094,0.569048
17.4998,19,18,17,17,14.7556,20.0779,0.569253,0.698516,0.57828,0.691955,0.559891
17.5135,18,17,17,18,14.3921,20.4459,0.596166,0.705876,0.578196,0.696,0.614803
17.5316,18,17,19,19,13.7656,21.0695,0.557848,0.698967,0.556094,0.700138,0.559676
17.5642,20,18,16,18,16.7499,18.3291,0.563706,0.689187,0.566157,0.695822,0.56112
17.6232,17,18,19,18,14.6006,20.4627,0.556917,0.728103,0.580939,0.672889,0.533546
17.6461,19,17,17,18,15.4008,19.7555,0.568147,0.688419,0.555007,0.708093,0.582183
17.6752,18,17,15,17,16.2805,18.9855,0.585619,0.713103,0.596024,0.691765,0.574996
17.6823,17,17,17,17,13.817,21.3136,0.567358,0.721906,0.580072,0.687812,0.554639
17.7485,17,20,15,17,18.7767,16.7825,0.561896,0.776386,0.615443,0.627629,0.51469
17.7827,19,20,16,17,18.7542,16.8701,0.572742,0.729359,0.597017,0.652701,0.549535
17.7829,19,17,15,17,17.1493,18.3782,0.606589,0.694945,0.594697,0.704,0.619048
17.821,19,18,17,18,14.9172,20.5489,0.581781,0.701323,0.565963,0.688178,0.598108
17.8561,18,17,15,18,17.8602,17.8523,0.58286,0.716103,0.590437,0.687814,0.575157
17.8584,17,15,16,18,14.1467,21.3453,0.581281,0.701929,0.574926,0.722872,0.587993
17.8868,17,17,18,20,16.3369,19.3427,0.569042,0.725651,0.578982,0.680364,0.55929
17.8937,17,17,18,17,15.6489,20.0025,0.565874,0.716547,0.572593,0.691953,0.559096
17.9172,17,20,17,17,15.7598,19.9439,0.564166,0.764259,0.620362,0.634887,0.513631
17.9471,17,17,16,17,15.3869,20.3523,0.572643,0.727393,0.562829,0.683671,0.582398
17.9672,17,19,17,17,16.4631,19.3802,0.569958,0.750141,0.557029,0.651011,0.582136
18.0004,17,18,17,19,15.4573,20.3895,0.582092,0.742165,0.599778,0.661626,0.565379
18.0198,18,18,15,20,16.9821,18.9947,0.554073,0.735897,0.566478,0.661913,0.542217
18.0406,18,17,17,15,14.3194,21.5364,0.581275,0.697079,0.56876,0.708434,0.594622
18.0432,18,18,15,18,17.5035,18.5503,0.576303,0.729897,0.608106,0.6688,0.54528
18.0461,19,18,18,17,16.2048,19.7758,0.591013,0.693862,0.59232,0.69591,0.589645
18.0568,18,17,18,19,14.952,20.9735,0.561758,0.703833,0.562247,0.696092,0.561254
18.0706,17,18,17,17,15.1442,20.8198,0.572413,0.736024,0.594308,0.668584,0.551314
18.0739,18,17,18,15,14.5694,21.3662,0.567658,0.692233,0.552953,0.712675,0.583368
18.0746,17,17,16,15,14.6097,21.3297,0.580082,0.721179,0.586823,0.691663,0.573271
18.0861,17,19,16,18,17.9004,18.2605,0.574504,0.759071,0.595432,0.644085,0.555418
