Function,T_1_1,T_1_3,T_2_1,T_2_3,M1,M2,L,ML1,SL1,ML2,SL2
-1,15,15,15,35,-1,-1,-1,0.80984,-1,0.630905,-1
-1,15,15,15,40,-1,-1,-1,0.82724,-1,0.61696,-1
-1,15,15,15,45,-1,-1,-1,0.84464,-1,0.604343,-1
-1,15,15,15,50,-1,-1,-1,0.86204,-1,0.592873,-1
-1,15,15,15,55,-1,-1,-1,0.87944,-1,0.5824,-1
-1,15,15,15,60,-1,-1,-1,0.89684,-1,0.5728,-1
-1,15,20,15,35,-1,-1,-1,0.88984,-1,0.5664,-1
-1,15,20,15,40,-1,-1,-1,0.90724,-1,0.557467,-1
-1,15,20,15,45,-1,-1,-1,0.92464,-1,0.549248,-1
-1,15,20,15,50,-1,-1,-1,0.94204,-1,0.541662,-1
-1,15,20,15,55,-1,-1,-1,0.95944,-1,0.534637,-1
-1,15,20,15,60,-1,-1,-1,0.97684,-1,0.528114,-1
-1,15,25,15,35,-1,-1,-1,0.96984,-1,0.521007,-1
-1,15,25,15,40,-1,-1,-1,0.98724,-1,0.514971,-1
-1,15,25,15,45,-1,-1,-1,1.00464,-1,0.509352,-1
-1,15,25,15,50,-1,-1,-1,1.02204,-1,0.504107,-1
-1,15,25,15,55,-1,-1,-1,1.03944,-1,0.4992,-1
-1,15,25,15,60,-1,-1,-1,1.05684,-1,0.4946,-1
-1,15,30,15,15,-1,-1,-1,0.98024,-1,0.507378,-1
-1,15,30,15,20,-1,-1,-1,0.99764,-1,0.501829,-1
-1,15,30,15,25,-1,-1,-1,1.01504,-1,0.496662,-1
-1,15,30,15,30,-1,-1,-1,1.03244,-1,0.49184,-1
-1,15,30,15,35,-1,-1,-1,1.04984,-1,0.487329,-1
-1,15,30,15,40,-1,-1,-1,1.06724,-1,0.4831,-1
-1,15,30,15,45,-1,-1,-1,1.08464,-1,0.479127,-1
-1,15,30,15,50,-1,-1,-1,1.10204,-1,0.475388,-1
-1,15,30,15,55,-1,-1,-1,1.11944,-1,0.471863,-1
-1,15,30,15,60,-1,-1,-1,1.13684,-1,0.468533,-1
-1,15,35,15,15,-1,-1,-1,1.06024,-1,0.475458,-1
